GroupName,Link,Monthly List
D1CE,https://open.spotify.com/artist/6mcrZQmgzFGRWf7C0SObou,345334
Dalshabet,https://open.spotify.com/artist/10xsuRNvidaOLxWd3fRIel,Loading...
DAY6,https://open.spotify.com/artist/5TnQc2N1iKlFjYD7CPGvFc,1186908
DAYDAY,https://open.spotify.com/artist/1K338Q86etOri7BwHPWZeX,119
DayDream (2016 group),,#VALUE!
Daydream (2019 group),,#VALUE!
Delight (group),https://open.spotify.com/artist/0cylxW7HGdK9xMdubw2oYW,14608
DELUXE,https://open.spotify.com/artist/1ZJbPwe4zKnUDRT7yi9dBC,266
DESTINY,https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz,3317538
DGNA,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,14345247
DIA (group),https://open.spotify.com/artist/5QIt8ef7xvYB9t98uix1zZ,5
DICE,https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is,114297
DKB,https://open.spotify.com/artist/4DoedGw38ubJdAT1edFsIx,12674
DONGKIZ,https://open.spotify.com/artist/31eyTcfjAke5hFX3az3nRE,4404
Dorothy,https://open.spotify.com/artist/45yEuthJ9yq1rNXAOpBnqM,281167
Double Eight,https://open.spotify.com/artist/6HCBnyTBSLdb3TFn2ayulY,127013
DPOP Friends,,#VALUE!
Dreamcatcher,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,1785832
DreamNote,https://open.spotify.com/artist/3ILvL0HM0cST4iR8RzQh2V,19906
Drunken Tiger,https://open.spotify.com/artist/1kcYSWblYWOOMVOPNgbMYI,24285
DSP N,https://open.spotify.com/artist/1GDbiv3spRmZ1XdM1jQbT7,4151296
Dustin,https://open.spotify.com/artist/1dID9zgn0OV0Y8ud7Mh2tS,1301283
EBOYZ,https://open.spotify.com/artist/0NBzeOEUgiFcjOfEIgjeMV,429
Ela8te,https://open.spotify.com/artist/55icKM7WkjXWnyfvCTlqbk,3803
Elado,https://open.spotify.com/artist/7yCGrS6Xh3UngvY6Ad5sMJ,#N/A
ELRIS,https://open.spotify.com/artist/1mgzY8CsK8lyJy96tT8bV5,110648
ELVIN CREW,https://open.spotify.com/artist/1c22GXH30ijlOfXhfLz9Df,Loading...
